name,Kingdom,Phylum,Class,Order,Family,Genus,Species
dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
cow,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus
horse,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus
sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa
goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus
chicken,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
giraffe,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis
zebra,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,
camel,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,
fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,
elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,,
bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,,
deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,,
dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,,
duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,,
goose,Animalia,Chordata,Aves,Anseriformes,Anatidae,,
penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,,
rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,,
squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,,
kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,,
monkey,Animalia,Chordata,Mammalia,Primates,,,
bird,Animalia,Chordata,Aves,,,,
fish,Animalia,Chordata,,,,,
insect,Animalia,Arthropoda,Insecta,,,,
